word,n,theme,literal
mothers,4,NA,mothers
moves,4,NA,moves
mutual,4,NA,mutual
names,4,NA,names
nation,4,NA,nation
necks,4,NA,necks
neglect,4,NA,neglect
newfoundlander,4,NA,newfoundlander
nightfall,4,NA,nightfall
nindemann,4,NA,nindemann
noah,4,NA,noah
norwegian,4,NA,norwegian
nostrils,4,NA,nostrils
oarsmen,4,NA,oarsmen
observ,4,NA,observ
observing,4,NA,observing
occurring,4,NA,occurring
odell,4,NA,odell
ohlsen,4,NA,ohlsen
ometer,4,NA,ometer
oneself,4,NA,oneself
openings,4,NA,openings
opponent,4,NA,opponent
outcrop,4,NA,outcrop
outcrops,4,NA,outcrops
overhanging,4,NA,overhanging
owes,4,NA,owes
muskox,4,wildlife,ox
oxen,4,NA,oxen
pacific,4,NA,pacific
page,4,NA,page
pains,4,NA,pains
pannik,4,NA,pannik
pans,4,NA,pans
parents,4,NA,parents
passion,4,NA,passion
pause,4,NA,pause
pauses,4,NA,pauses
pen,4,NA,pen
pencil,4,NA,pencil
pennant,4,NA,pennant
perature,4,NA,perature
perceive,4,NA,perceive
perform,4,NA,perform
performed,4,NA,performed
persistence,4,NA,persistence
perspective,4,NA,perspective
persuaded,4,NA,persuaded
photograph,4,NA,photograph
piles,4,NA,piles
planning,4,NA,planning
planted,4,NA,planted
playground,4,NA,playground
pleasantly,4,NA,pleasantly
pletely,4,NA,pletely
polaris’s,4,NA,polaris’s
political,4,NA,political
porch,4,NA,porch
posed,4,NA,posed
posted,4,NA,posted
pound,4,NA,pound
pounds,4,NA,pounds
powerfully,4,NA,powerfully
precipitation,4,NA,precipitation
prismatic,4,NA,prismatic
product,4,NA,product
prolonged,4,NA,prolonged
pronounced,4,NA,pronounced
proposed,4,NA,proposed
protecting,4,NA,protecting
prøven,4,NA,prøven
pull,4,NA,pull
pulpit,4,NA,pulpit
putting,4,NA,putting
quality,4,NA,quality
quartz,4,NA,quartz
quote,4,NA,quote
quoted,4,NA,quoted
racing,4,NA,racing
radiation,4,NA,radiation
rafted,4,NA,rafted
rags,4,NA,rags
rail,4,NA,rail
ranged,4,NA,ranged
reappear,4,NA,reappear
rear,4,NA,rear
receives,4,NA,receives
recognizable,4,NA,recognizable
reconnoitre,4,NA,reconnoitre
recording,4,NA,recording
records,4,NA,records
reef,4,NA,reef
refractoriness,4,NA,refractoriness
refuse,4,NA,refuse
regretted,4,NA,regretted
rela,4,NA,rela
release,4,NA,release
reluctant,4,NA,reluctant
remember,4,NA,remember
removing,4,NA,removing
renew,4,NA,renew
rent,4,NA,rent
repair,4,NA,repair
repeat,4,NA,repeat
requested,4,NA,requested
resident,4,NA,resident
resistant,4,NA,resistant
resolved,4,NA,resolved
resultant,4,NA,resultant
resumed,4,NA,resumed
retained,4,NA,retained
returning,4,NA,returning
reveals,4,NA,reveals
rewarded,4,NA,rewarded
riding,4,NA,riding
roared,4,NA,roared
roasted,4,NA,roasted
robeson’s,4,NA,robeson’s
rudder,4,NA,rudder
ruins,4,NA,ruins
rush,4,NA,rush
rut,4,NA,rut
sacks,4,NA,sacks
sacrifice,4,NA,sacrifice
sacs,4,NA,sacs
satisfactory,4,NA,satisfactory
saving,4,NA,saving
scorned,4,NA,scorned
screws,4,NA,screws
sealer,4,NA,sealer
sealers,4,NA,sealers
seat,4,NA,seat
section,4,NA,section
select,4,NA,select
senate,4,NA,senate
sensitive,4,NA,sensitive
separates,4,NA,separates
separating,4,NA,separating
serving,4,NA,serving
sessed,4,NA,sessed
shade,4,NA,shade
shaking,4,NA,shaking
sharing,4,NA,sharing
sharky,4,NA,sharky
shattering,4,NA,shattering
sheep,4,NA,sheep
shiny,4,NA,shiny
shoulders,4,NA,shoulders
shrill,4,NA,shrill
shut,4,NA,shut
signed,4,NA,signed
silence,4,NA,silence
silhouette,4,NA,silhouette
sin,4,NA,sin
sinew,4,NA,sinew
sister,4,NA,sister
skerries,4,NA,skerries
skills,4,NA,skills
slab,4,NA,slab
sleds,4,NA,sleds
slid,4,NA,slid
slim,4,NA,slim
slipped,4,NA,slipped
smash,4,NA,smash
smelling,4,NA,smelling
smile,4,NA,smile
snapped,4,NA,snapped
soapstone,4,NA,soapstone
solve,4,NA,solve
sonntag,4,NA,sonntag
sons,4,NA,sons
sorfalik,4,NA,sorfalik
sortie,4,NA,sortie
southwesterly,4,NA,southwesterly
speak,4,NA,speak
splinters,4,NA,splinters
spout,4,NA,spout
spreads,4,NA,spreads
spruce,4,NA,spruce
squalls,4,NA,squalls
stability,4,NA,stability
stared,4,NA,stared
starvation,4,NA,starvation
statement,4,NA,statement
statements,4,NA,statements
stations,4,NA,stations
staying,4,NA,staying
sticking,4,NA,sticking
stock,4,NA,stock
stored,4,NA,stored
stovepipe,4,NA,stovepipe
stranded,4,NA,stranded
streets,4,NA,streets
stretching,4,NA,stretching
stubbornly,4,NA,stubbornly
style,4,NA,style
subdued,4,NA,subdued
suc,4,NA,suc
suffer,4,NA,suffer
suggest,4,NA,suggest
sukkertoppen,4,NA,sukkertoppen
summits,4,NA,summits
sunday,4,NA,sunday
sunset,4,NA,sunset
surfaced,4,NA,surfaced
surpassed,4,NA,surpassed
surprisingly,4,NA,surprisingly
suspended,4,NA,suspended
swallow,4,NA,swallow
swam,4,NA,swam
swarmed,4,NA,swarmed
swarming,4,NA,swarming
swayed,4,NA,swayed
swaying,4,NA,swaying
swedish,4,NA,swedish
swings,4,NA,swings
talent,4,NA,talent
tance,4,NA,tance
tarred,4,NA,tarred
taut,4,NA,taut
ted,4,NA,ted
telegram,4,NA,telegram
terra,4,NA,terra
tertiary,4,NA,tertiary
thawing,4,NA,thawing
thicker,4,NA,thicker
thigh,4,NA,thigh
thou,4,NA,thou
throat,4,NA,throat
throwing,4,NA,throwing
thy,4,NA,thy
ties,4,NA,ties
timber,4,NA,timber
tinued,4,NA,tinued
tives,4,NA,tives
tle,4,NA,tle
ton,4,NA,ton
tonnes,4,NA,tonnes
tor,4,NA,tor
tormented,4,NA,tormented
torments,4,NA,torments
tortuous,4,NA,tortuous
tough,4,NA,tough
tow,4,NA,tow
towed,4,NA,towed
trance,4,NA,trance
transported,4,NA,transported
trap,4,NA,trap
trav,4,NA,trav
treasure,4,NA,treasure
treat,4,NA,treat
trivial,4,NA,trivial
tunnels,4,NA,tunnels
types,4,NA,types
tyson’s,4,NA,tyson’s
unattainable,4,NA,unattainable
uncertainty,4,NA,uncertainty
underwater,4,NA,underwater
undisturbed,4,NA,undisturbed
unexpectedly,4,NA,unexpectedly
unfortunate,4,NA,unfortunate
unloaded,4,NA,unloaded
urged,4,NA,urged
uttermost,4,NA,uttermost
variations,4,NA,variations
veiled,4,NA,veiled
veils,4,NA,veils
version,4,NA,version
viously,4,NA,viously
voy,4,NA,voy
wailing,4,NA,wailing
wander,4,NA,wander
warming,4,NA,warming
warped,4,NA,warped
watching,4,NA,watching
waving,4,NA,waving
wear,4,NA,wear
weathering,4,NA,weathering
weighing,4,NA,weighing
whim,4,NA,whim
whirling,4,NA,whirling
wintered,4,NA,wintered
withered,4,NA,withered
withstand,4,NA,withstand
witness,4,NA,witness
woa,4,NA,woa
women’s,4,NA,women’s
workings,4,NA,workings
worried,4,NA,worried
worthwhile,4,NA,worthwhile
wrecked,4,NA,wrecked
wretched,4,NA,wretched
youth,4,NA,youth
zealous,4,NA,zealous
1.78,3,NA,1.78
1000,3,NA,1000
11.30,3,NA,11.30
12.30,3,NA,12.30
132,3,NA,132
150,3,NA,150
1861,3,NA,1861
1863,3,NA,1863
190,3,NA,190
2.5,3,NA,2.5
3.30,3,NA,3.30
36.5,3,NA,36.5
5.2,3,NA,5.2
59,3,NA,59
68,3,NA,68
7.30,3,NA,7.30
70th,3,NA,70th
77th,3,NA,77th
83,3,NA,83
900,3,NA,900
9h,3,NA,9h
abandoning,3,NA,abandoning
ably,3,NA,ably
absorbed,3,NA,absorbed
accessible,3,NA,accessible
accomplishing,3,NA,accomplishing
accumulations,3,NA,accumulations
achieving,3,NA,achieving
acknowledge,3,NA,acknowledge
adapted,3,NA,adapted
add,3,NA,add
adjust,3,NA,adjust
administration,3,NA,administration
admiral,3,NA,admiral
admiration,3,NA,admiration
admit,3,NA,admit
affectionately,3,NA,affectionately
ahoy,3,NA,ahoy
ailments,3,NA,ailments
aim,3,NA,aim
alarm,3,NA,alarm
alarming,3,NA,alarming
alaska,3,NA,alaska
albumen,3,NA,albumen
alcoholic,3,NA,alcoholic
alert,3,NA,alert
aligned,3,NA,aligned
alluvium,3,NA,alluvium
almond,3,NA,almond
als,3,NA,als
alternating,3,NA,alternating
ambition,3,NA,ambition
amer,3,NA,amer
amidships,3,NA,amidships
amounted,3,NA,amounted
analysis,3,NA,analysis
ance,3,NA,ance
ancestors,3,NA,ancestors
anemometers,3,NA,anemometers
angrily,3,NA,angrily
annually,3,NA,annually
applies,3,NA,applies
appoint,3,NA,appoint
appropriated,3,NA,appropriated
approval,3,NA,approval
approve,3,NA,approve
approved,3,NA,approved
archives,3,NA,archives
armature,3,NA,armature
armour,3,NA,armour
aromatic,3,NA,aromatic
array,3,NA,array
arrive,3,NA,arrive
art,3,NA,art
artistic,3,NA,artistic
artistically,3,NA,artistically
ascribed,3,NA,ascribed
asleep,3,NA,asleep
assembly,3,NA,assembly
assistant,3,NA,assistant
astronomer,3,NA,astronomer
ated,3,NA,ated
atholl,3,NA,atholl
attaining,3,NA,attaining
attire,3,NA,attire
avifauna,3,NA,avifauna
await,3,NA,await
awe,3,NA,awe
axes,3,NA,axes
azimuth,3,NA,azimuth
background,3,NA,background
bade,3,NA,bade
balance,3,NA,balance
bales,3,NA,bales
balloon,3,NA,balloon
barley,3,NA,barley
barriers,3,NA,barriers
barrow,3,NA,barrow
barter,3,NA,barter
bartlett,3,NA,bartlett
beaten,3,NA,beaten
beauties,3,NA,beauties
behave,3,NA,behave
belongs,3,NA,belongs
beluga,3,NA,beluga
bench,3,NA,bench
benefit,3,NA,benefit
betraying,3,NA,betraying
billowing,3,NA,billowing
bills,3,NA,bills
birch,3,NA,birch
bitches,3,NA,bitches
biting,3,NA,biting
blade,3,NA,blade
blinding,3,NA,blinding
bloom,3,NA,bloom
blooms,3,NA,blooms
blunt,3,NA,blunt
bobbing,3,NA,bobbing
boilers,3,NA,boilers
boldest,3,NA,boldest
bonavista,3,NA,bonavista
boot,3,NA,boot
booty,3,NA,booty
borders,3,NA,borders
borne,3,NA,borne
borrowed,3,NA,borrowed
bosun,3,NA,bosun
bot,3,NA,bot
bottles,3,NA,bottles
bought,3,NA,bought
boul,3,NA,boul
boundless,3,NA,boundless
bowsprit,3,NA,bowsprit
branch,3,NA,branch
bravely,3,NA,bravely
breadth,3,NA,breadth
breaker,3,NA,breaker
brightness,3,NA,brightness
broad,3,NA,broad
brooded,3,NA,brooded
buds,3,NA,buds
buffalo,3,NA,buffalo
bum,3,NA,bum
bundled,3,NA,bundled
bundles,3,NA,bundles
bunting,3,NA,bunting
burn,3,NA,burn
burrows,3,NA,burrows
butterflies,3,wildlife,butterflies
butterfly,3,wildlife,butterfly
buzzed,3,NA,buzzed
bylot’s,3,NA,bylot’s
c.f,3,NA,c.f
campbell,3,NA,campbell
candles,3,NA,candles
capsizing,3,NA,capsizing
capstan,3,NA,capstan
captain’s,3,NA,captain’s
capture,3,NA,capture
carcasses,3,NA,carcasses
cardboard,3,NA,cardboard
carey,3,NA,carey
carl,3,NA,carl
carmine,3,NA,carmine
carpenter’s,3,NA,carpenter’s
casionally,3,NA,casionally
catastrophe,3,NA,catastrophe
catches,3,NA,catches
catechist’s,3,NA,catechist’s
ceiling,3,NA,ceiling
celebrate,3,NA,celebrate
cellar,3,NA,cellar
census,3,NA,census
cer,3,NA,cer
chapter,3,NA,chapter
chapters,3,NA,chapters
charm,3,NA,charm
chase,3,NA,chase
checked,3,NA,checked
cheeks,3,NA,cheeks
chewed,3,NA,chewed
chewing,3,NA,chewing
chief,3,NA,chief
childish,3,NA,childish
chilled,3,NA,chilled
chip,3,NA,chip
cier,3,NA,cier
cious,3,NA,cious
circles,3,NA,circles
circling,3,NA,circling
circuit,3,NA,circuit
clad,3,NA,clad
claimed,3,NA,claimed
clambering,3,NA,clambering
clearing,3,NA,clearing
clinging,3,NA,clinging
coincide,3,NA,coincide
colder,3,NA,colder
collided,3,NA,collided
colonial,3,NA,colonial
colossus,3,NA,colossus
columns,3,NA,columns
combat,3,NA,combat
comforts,3,NA,comforts
committed,3,NA,committed
communal,3,NA,communal
community,3,NA,community
compensate,3,NA,compensate
complaining,3,NA,complaining
composed,3,NA,composed
composition,3,NA,composition
conceal,3,NA,conceal
concentrated,3,NA,concentrated
concluded,3,NA,concluded
conclusions,3,NA,conclusions
conduct,3,NA,conduct
confronted,3,NA,confronted
congress’s,3,NA,congress’s
conjured,3,NA,conjured
conscientiously,3,NA,conscientiously
conspicuous,3,NA,conspicuous
constructed,3,NA,constructed
contentedly,3,NA,contentedly
continues,3,NA,continues
contributed,3,NA,contributed
contributions,3,NA,contributions
convenience,3,NA,convenience
convergence,3,NA,convergence
conversation,3,NA,conversation
convex,3,NA,convex
copy,3,NA,copy
cording,3,NA,cording
corvette,3,NA,corvette
cosy,3,NA,cosy
counting,3,NA,counting
couples,3,NA,couples
cove,3,NA,cove
cracked,3,NA,cracked
crackling,3,NA,crackling
creaked,3,NA,creaked
creased,3,NA,creased
crept,3,NA,crept
crevassed,3,NA,crevassed
crevice,3,NA,crevice
criticism,3,NA,criticism
crosses,3,NA,crosses
crowd,3,NA,crowd
crown,3,NA,crown
crozier,3,NA,crozier
crumble,3,NA,crumble
cry,3,NA,cry
cupboard,3,NA,cupboard
cur,3,NA,cur
cured,3,NA,cured
cursory,3,NA,cursory
curvature,3,NA,curvature
curved,3,NA,curved
curving,3,NA,curving
cylindrical,3,NA,cylindrical
dalrymple,3,NA,dalrymple
dan,3,NA,dan
dancing,3,NA,dancing
danes,3,NA,danes
dare,3,NA,dare
dealing,3,NA,dealing
deception,3,NA,deception
declined,3,NA,declined
deemed,3,NA,deemed
defended,3,NA,defended
delicacy,3,NA,delicacy
delightful,3,NA,delightful
delineation,3,NA,delineation
delivered,3,NA,delivered
delivery,3,NA,delivery
delta,3,NA,delta
dem,3,NA,dem
demarcated,3,NA,demarcated
demarcation,3,NA,demarcation
denied,3,NA,denied
densely,3,NA,densely
density,3,NA,density
departing,3,NA,departing
depicted,3,NA,depicted
depleted,3,NA,depleted
depressed,3,NA,depressed
ders,3,NA,ders
des,3,NA,des
descriptions,3,NA,descriptions
deserted,3,NA,deserted
destroyed,3,NA,destroyed
detected,3,NA,detected
detours,3,NA,detours
developing,3,NA,developing
deviates,3,NA,deviates
dexterity,3,NA,dexterity
diagram,3,NA,diagram
dialect,3,NA,dialect
dictate,3,NA,dictate
didn’t,3,NA,didn’t
dies,3,NA,dies
digges,3,NA,digges
dignity,3,NA,dignity
diligence,3,NA,diligence
diligently,3,NA,diligently
dining,3,NA,dining
direc,3,NA,direc
dirt,3,NA,dirt
disappointed,3,NA,disappointed
disaster,3,NA,disaster
discarded,3,NA,discarded
discern,3,NA,discern
discomfort,3,NA,discomfort
discouraged,3,NA,discouraged
discouraging,3,NA,discouraging
discoverers,3,NA,discoverers
discovery’s,3,NA,discovery’s
discussed,3,NA,discussed
discussion,3,NA,discussion
dislocations,3,NA,dislocations
dismal,3,NA,dismal
dismay,3,NA,dismay
dismissed,3,NA,dismissed
dispense,3,NA,dispense
displaced,3,NA,displaced
disposed,3,NA,disposed
disposition,3,NA,disposition
distinctly,3,NA,distinctly
dive,3,NA,dive
divisions,3,NA,divisions
dle,3,NA,dle
dock,3,NA,dock
dominant,3,NA,dominant
donkey,3,NA,donkey
doorknob,3,NA,doorknob
dorsal,3,NA,dorsal
dragging,3,NA,dragging
draped,3,NA,draped
draught,3,NA,draught
drawings,3,NA,drawings
dreaded,3,NA,dreaded
dreams,3,NA,dreams
drew,3,NA,drew
drill,3,NA,drill
driv,3,NA,driv
drunk,3,NA,drunk
drying,3,NA,drying
dudley,3,NA,dudley
dully,3,NA,dully
dundee,3,NA,dundee
dust,3,NA,dust
dying,3,NA,dying
earliest,3,NA,earliest
education,3,NA,education
effectively,3,NA,effectively
eiders,3,NA,eiders
el,3,NA,el
electrometer,3,NA,electrometer
eliminate,3,NA,eliminate
elwin,3,NA,elwin
emerge,3,NA,emerge
emil,3,NA,emil
enclosed,3,NA,enclosed
endlessly,3,NA,endlessly
endure,3,NA,endure
engines,3,NA,engines
enhanced,3,NA,enhanced
enticements,3,NA,enticements
ently,3,NA,ently
entrances,3,NA,entrances
environment,3,NA,environment
equilibrium,3,NA,equilibrium
erased,3,NA,erased
erect,3,NA,erect
escaping,3,NA,escaping
esquimaux,3,NA,esquimaux
estimate,3,NA,estimate
estimation,3,NA,estimation
eternal,3,NA,eternal
europeans,3,NA,europeans
eve,3,NA,eve
evil,3,NA,evil
exact,3,NA,exact
examples,3,NA,examples
excessive,3,NA,excessive
excite,3,NA,excite
excluded,3,NA,excluded
exerts,3,NA,exerts
expedient,3,NA,expedient
expended,3,NA,expended
experi,3,NA,experi
explorer,3,NA,explorer
exploring,3,NA,exploring
exposing,3,NA,exposing
exposure,3,NA,exposure
expres,3,NA,expres
expressionless,3,NA,expressionless
extension,3,NA,extension
extremity,3,NA,extremity
fa,3,NA,fa
faded,3,NA,faded
fail,3,NA,fail
fairy,3,NA,fairy
fault,3,NA,fault
feat,3,NA,feat
feathered,3,NA,feathered
federal,3,NA,federal
feed,3,NA,feed
feels,3,NA,feels
feverish,3,NA,feverish
fights,3,NA,fights
filling,3,NA,filling
fins,3,NA,fins
fiords,3,NA,fiords
firewood,3,NA,firewood
firma,3,NA,firma
fished,3,NA,fished
fitting,3,NA,fitting
fix,3,NA,fix
flanking,3,NA,flanking
flashed,3,NA,flashed
fleeing,3,NA,fleeing
flickered,3,NA,flickered
flies,3,NA,flies
float,3,NA,float
flour,3,NA,flour
flowering,3,NA,flowering
fluttered,3,NA,fluttered
foamed,3,NA,foamed
fogs,3,NA,fogs
footing,3,NA,footing
fore,3,NA,fore
foreign,3,NA,foreign
forest,3,NA,forest
forests,3,NA,forests
forfeited,3,NA,forfeited
francis,3,NA,francis
freed,3,NA,freed
friedrich,3,NA,friedrich
fritz,3,NA,fritz
frontal,3,NA,frontal
fruits,3,NA,fruits
fulfill,3,NA,fulfill
fullest,3,NA,fullest
functioning,3,NA,functioning
gain,3,NA,gain
garden,3,NA,garden
garment,3,NA,garment
gathering,3,NA,gathering
gazing,3,NA,gazing
geology,3,NA,geology
glad,3,NA,glad
glasses,3,NA,glasses
glided,3,NA,glided
glistened,3,NA,glistened
glove,3,NA,glove
gnaw,3,NA,gnaw
goodwill,3,NA,goodwill
governor’s,3,NA,governor’s
gravel,3,NA,gravel
greedy,3,NA,greedy
greenland’s,3,NA,greenland’s
greeting,3,NA,greeting
grin,3,NA,grin
grinding,3,NA,grinding
growling,3,NA,growling
guarded,3,NA,guarded
gush,3,NA,gush
gyrfalcon,3,wildlife,gyrfalcon
habit,3,NA,habit
habitable,3,NA,habitable
habits,3,NA,habits
hammered,3,NA,hammered
handkerchief,3,NA,handkerchief
handsome,3,NA,handsome
hang,3,NA,hang
hannah’s,3,NA,hannah’s
hap,3,NA,hap
harm,3,NA,harm
harpooned,3,NA,harpooned
harpoons,3,NA,harpoons
hast,3,NA,hast
hazards,3,NA,hazards
heav,3,NA,heav
heavens,3,NA,heavens
heavier,3,NA,heavier
helping,3,NA,helping
heralded,3,NA,heralded
herr,3,NA,herr
herring,3,NA,herring
hesitation,3,NA,hesitation
hid,3,NA,hid
hips,3,NA,hips
hissing,3,NA,hissing
hollows,3,NA,hollows
homely,3,NA,homely
hoof,3,NA,hoof
hornblende,3,NA,hornblende
horribly,3,NA,horribly
humming,3,NA,humming
hydrographic,3,NA,hydrographic
ica,3,NA,ica
ideal,3,NA,ideal
il,3,NA,il
illustration,3,NA,illustration
imagination,3,NA,imagination
imagine,3,NA,imagine
immigrants,3,NA,immigrants
imminent,3,NA,imminent
impatiently,3,NA,impatiently
implements,3,NA,implements
imposing,3,NA,imposing
improving,3,NA,improving
inappropriate,3,NA,inappropriate
incident,3,NA,incident
incidentally,3,NA,incidentally
inclinometer,3,NA,inclinometer
inclusions,3,NA,inclusions
inconsiderable,3,NA,inconsiderable
increases,3,NA,increases
increasingly,3,NA,increasingly
indefatigably,3,NA,indefatigably
independence,3,NA,independence
independent,3,NA,independent
induced,3,NA,induced
ine,3,NA,ine
infinitely,3,NA,infinitely
ingegerd,3,NA,ingegerd
ingly,3,NA,ingly
inhabit,3,NA,inhabit
inhabited,3,NA,inhabited
inherited,3,NA,inherited
initial,3,NA,initial
innocent,3,NA,innocent
inshore,3,NA,inshore
insolation,3,NA,insolation
inspired,3,NA,inspired
instant,3,NA,instant
instru,3,NA,instru
intact,3,NA,intact
intentions,3,NA,intentions
interaction,3,NA,interaction
interference,3,NA,interference
inundated,3,NA,inundated
investigation,3,NA,investigation
invisible,3,NA,invisible
ions,3,NA,ions
irregularities,3,NA,irregularities
isolation,3,NA,isolation
ity,3,NA,ity
jackets,3,NA,jackets
japan,3,NA,japan
jellyfish,3,wildlife,jellyfish
jimmy’s,3,NA,jimmy’s
jour,3,NA,jour
joys,3,NA,joys
juice,3,NA,juice
julianehaab,3,NA,julianehaab
julianehåb,3,NA,julianehåb
jupiter,3,NA,jupiter
kater,3,NA,kater
kgu,3,NA,kgu
kimo,3,NA,kimo
kindled,3,NA,kindled
kingdom,3,NA,kingdom
kittiwake,3,wildlife,kittiwake
knot,3,NA,knot
knowing,3,NA,knowing
krüger,3,NA,krüger
labyrinth,3,NA,labyrinth
lacking,3,NA,lacking
lad,3,NA,lad
languages,3,NA,languages
lap,3,NA,lap
larvae,3,NA,larvae
laughing,3,NA,laughing
leaf,3,NA,leaf
leaped,3,NA,leaped
lee,3,NA,lee
legged,3,NA,legged
leisurely,3,NA,leisurely
lengths,3,NA,lengths
lethargy,3,NA,lethargy
lid,3,NA,lid
lievely,3,NA,lievely
lifestyle,3,NA,lifestyle
lightened,3,NA,lightened
lightly,3,NA,lightly
lightning,3,NA,lightning
lincoln,3,NA,lincoln
listed,3,NA,listed
listened,3,NA,listened
literally,3,NA,literally
locating,3,NA,locating
lock,3,NA,lock
lodgings,3,NA,lodgings
logical,3,NA,logical
longi,3,NA,longi
longing,3,NA,longing
loop,3,NA,loop
loops,3,NA,loops
losses,3,NA,losses
lumber,3,NA,lumber
lunch,3,NA,lunch
lust,3,NA,lust
ma,3,NA,ma
mag,3,NA,mag
magnification,3,NA,magnification
magnificently,3,NA,magnificently
mail,3,NA,mail
maintaining,3,NA,maintaining
mals,3,NA,mals
mammals,3,NA,mammals
manik,3,NA,manik
manik’s,3,NA,manik’s
mann,3,NA,mann
marches,3,NA,marches
martin,3,NA,martin
maternal,3,NA,maternal
mates,3,NA,mates
mechanism,3,NA,mechanism
mediately,3,NA,mediately
meltwater,3,NA,meltwater
memorable,3,NA,memorable
memoriam,3,NA,memoriam
meteorites,3,NA,meteorites
minerals,3,NA,minerals
miniature,3,NA,miniature
misfortune,3,NA,misfortune
mocked,3,NA,mocked
moderate,3,NA,moderate
moderation,3,NA,moderation
modifications,3,NA,modifications
moist,3,NA,moist
monotony,3,NA,monotony
moon’s,3,NA,moon’s
moonlit,3,NA,moonlit
moraine,3,NA,moraine
moraines,3,NA,moraines
mound,3,NA,mound
muscle,3,NA,muscle
museum,3,NA,museum
musical,3,NA,musical
mya,3,NA,mya
nanuki,3,NA,nanuki
nar,3,NA,nar
narrowest,3,NA,narrowest
narrows,3,NA,narrows
natured,3,NA,natured
nautical,3,NA,nautical
navigator,3,NA,navigator
neglected,3,NA,neglected
negus,3,NA,negus
nell,3,NA,nell
nerves,3,NA,nerves
nests,3,NA,nests
nether,3,NA,nether
nets,3,NA,nets
newman,3,NA,newman
ney,3,NA,ney
northwesterly,3,NA,northwesterly
noses,3,NA,noses
nu,3,NA,nu
nuances,3,NA,nuances
nursoak,3,NA,nursoak
nuts,3,NA,nuts
nw,3,NA,nw
oak,3,NA,oak
oatmeal,3,NA,oatmeal
oblong,3,NA,oblong
obscured,3,NA,obscured
obser,3,NA,obser
oiled,3,NA,oiled
onset,3,NA,onset
op,3,NA,op
opaque,3,NA,opaque
oppor,3,NA,oppor
orange,3,NA,orange
organic,3,NA,organic
organism,3,NA,organism
originated,3,NA,originated
other’s,3,NA,other’s
otter,3,NA,otter
ounce,3,NA,ounce
ously,3,NA,ously
outcropping,3,NA,outcropping
outfitted,3,NA,outfitted
oval,3,NA,oval
overloaded,3,NA,overloaded
overview,3,NA,overview
ownership,3,NA,ownership
ozone,3,NA,ozone
packing,3,NA,packing
paddler,3,NA,paddler
paler,3,NA,paler
panting,3,NA,panting
par,3,NA,par
pared,3,NA,pared
participate,3,NA,participate
particles,3,NA,particles
passes,3,NA,passes
pathological,3,NA,pathological
patiently,3,NA,patiently
pay,3,NA,pay
peaked,3,NA,peaked
peas,3,NA,peas
peck,3,NA,peck
pedestal,3,NA,pedestal
pelagic,3,NA,pelagic
periwinkle,3,NA,periwinkle
permission,3,NA,permission
perseverance,3,NA,perseverance
persistent,3,NA,persistent
petersen,3,NA,petersen
physiognomy,3,NA,physiognomy
pigs,3,NA,pigs
pillow,3,NA,pillow
pinnacle,3,NA,pinnacle
pinnacles,3,NA,pinnacles
pipes,3,NA,pipes
pirate,3,NA,pirate
pitching,3,NA,pitching
pity,3,NA,pity
planes,3,NA,planes
pleased,3,NA,pleased
pleasures,3,NA,pleasures
ply,3,NA,ply
pointless,3,NA,pointless
popular,3,NA,popular
portion,3,NA,portion
ports,3,NA,ports
postpone,3,NA,postpone
potatoes,3,NA,potatoes
pour,3,NA,pour
pouring,3,NA,pouring
practicable,3,NA,practicable
pray,3,NA,pray
prayers,3,NA,prayers
precipitous,3,NA,precipitous
precise,3,NA,precise
predecessors,3,NA,predecessors
predominantly,3,NA,predominantly
preference,3,NA,preference
prehistoric,3,NA,prehistoric
premature,3,NA,premature
pres,3,NA,pres
press,3,NA,press
prevails,3,NA,prevails
prevents,3,NA,prevents
pride,3,NA,pride
prior,3,NA,prior
priority,3,NA,priority
prison,3,NA,prison
prize,3,NA,prize
prob,3,NA,prob
probability,3,NA,probability
proceeds,3,NA,proceeds
proclamation,3,NA,proclamation
production,3,NA,production
products,3,NA,products
professor,3,NA,professor
profile,3,NA,profile
profiled,3,NA,profiled
proper,3,NA,proper
proposal,3,NA,proposal
protective,3,NA,protective
protobathybius,3,NA,protobathybius
protoplasm,3,NA,protoplasm
protracted,3,NA,protracted
protruding,3,NA,protruding
proud,3,NA,proud
provi,3,NA,provi
providing,3,NA,providing
provisioning,3,NA,provisioning
pulley,3,NA,pulley
pulse,3,NA,pulse
punished,3,NA,punished
puppies,3,NA,puppies
pur,3,NA,pur
purchased,3,NA,purchased
purebred,3,NA,purebred
purely,3,NA,purely
pursuit,3,NA,pursuit
pyramid,3,NA,pyramid
quadrant,3,NA,quadrant
quivering,3,NA,quivering
radius,3,NA,radius
ragged,3,NA,ragged
railing,3,NA,railing
rainbow,3,NA,rainbow
raining,3,NA,raining
rainy,3,NA,rainy
ranging,3,NA,ranging
ratio,3,NA,ratio
readily,3,NA,readily
realization,3,NA,realization
reappeared,3,NA,reappeared
recall,3,NA,recall
recited,3,NA,recited
reckoning,3,NA,reckoning
recognition,3,NA,recognition
recover,3,NA,recover
recurred,3,NA,recurred
referred,3,NA,referred
reflection,3,NA,reflection
refraction,3,NA,refraction
refractory,3,NA,refractory
refreshing,3,NA,refreshing
regret,3,NA,regret
reichsthaler,3,NA,reichsthaler
rein,3,NA,rein
reliable,3,NA,reliable
relief,3,NA,relief
relieve,3,NA,relieve
religion,3,NA,religion
