bigram,n,theme,literal
brash ice,9,NA,brash ice
cape sumner,9,placename,cape sumner
dog sledge,9,NA,dog sledge
drinking water,9,NA,drinking water
fog descended,9,NA,fog descended
ice edge,9,NA,ice edge
ice fields,9,NA,ice fields
kennedy channel,9,placename,kennedy channel
lay close,9,NA,lay close
meteorological instruments,9,NA,meteorological instruments
northern lights,9,NA,northern lights
northumberland island,9,placename,northumberland island
numerous icebergs,9,NA,numerous icebergs
rounded cape,9,NA,rounded cape
sea ice,9,NA,sea ice
seal meat,9,NA,seal meat
ship’s position,9,NA,ship’s position
snow cover,9,NA,snow cover
tidal current,9,NA,tidal current
water appeared,9,NA,water appeared
wind blew,9,NA,wind blew
10 miles,8,NA,10 miles
10.00 p.m,8,NA,10.00 p.m
2.00 a.m,8,NA,2.00 a.m
20 feet,8,NA,20 feet
20 miles,8,NA,20 miles
3.00 p.m,8,NA,3.00 p.m
4 o’clock,8,NA,4 o’clock
4.00 p.m,8,NA,4.00 p.m
8.00 a.m,8,NA,8.00 a.m
arctic willow,8,NA,arctic willow
baffin bay,8,placename,baffin bay
barely covered,8,NA,barely covered
colony’s administrator,8,NA,colony’s administrator
driving snow,8,NA,driving snow
east coast,8,NA,east coast
ebb tide,8,NA,ebb tide
eider ducks,8,wildlife,eider ducks
etah people,8,NA,etah people
frost smoke,8,NA,frost smoke
ice free,8,NA,ice free
magnetic observations,8,NA,magnetic observations
miles north,8,NA,miles north
musk cattle,8,wildlife,musk cattle
passage instrument,8,NA,passage instrument
prevailing circumstances,8,NA,prevailing circumstances
robeson channel,8,placename,robeson channel
set sail,8,NA,set sail
shipwrecked people,8,NA,shipwrecked people
sledge trip,8,NA,sledge trip
snow covered,8,NA,snow covered
sun altitudes,8,NA,sun altitudes
water level,8,NA,water level
wind dropped,8,NA,wind dropped
100 feet,7,NA,100 feet
11 o’clock,7,NA,11 o’clock
12 hours,7,NA,12 hours
2 hours,7,NA,2 hours
2 o’clock,7,NA,2 o’clock
24 hours,7,NA,24 hours
3 miles,7,NA,3 miles
4.00 a.m,7,NA,4.00 a.m
40 miles,7,NA,40 miles
5 feet,7,NA,5 feet
6 miles,7,NA,6 miles
6.00 a.m,7,NA,6.00 a.m
6.00 p.m,7,NA,6.00 p.m
8 feet,7,NA,8 feet
bearded seal,7,wildlife,bearded seal
canned meat,7,placename,canned meat
cape isabella,7,placename,cape isabella
civilized world,7,NA,civilized world
covered sea,7,NA,covered sea
disappeared completely,7,NA,disappeared completely
drifting ice,7,NA,drifting ice
favourable opportunity,7,NA,favourable opportunity
foulke fiord,7,placename,foulke fiord
fresh meat,7,NA,fresh meat
hakluyt island,7,placename,hakluyt island
hand specimens,7,NA,hand specimens
hopes dashed,7,NA,hopes dashed
hours passed,7,NA,hours passed
humboldt glacier,7,placename,humboldt glacier
ice debris,7,NA,ice debris
ice lay,7,NA,ice lay
intense cold,7,NA,intense cold
knife edge,7,NA,knife edge
lancaster sound,7,placename,lancaster sound
nearby coast,7,NA,nearby coast
newly discovered,7,NA,newly discovered
noon sun,7,NA,noon sun
previous day,7,NA,previous day
rock debris,7,NA,rock debris
rowed ashore,7,NA,rowed ashore
sea water,7,NA,sea water
short rest,7,NA,short rest
snow blindness,7,NA,snow blindness
snow free,7,NA,snow free
tent roof,7,NA,tent roof
totally useless,7,NA,totally useless
weighed anchor,7,NA,weighed anchor
wind swung,7,NA,wind swung
wolstenholme sound,7,placename,wolstenholme sound
15 feet,6,NA,15 feet
15 minutes,6,NA,15 minutes
2000 feet,6,NA,2000 feet
25 miles,6,NA,25 miles
3.00 a.m,6,NA,3.00 a.m
5.00 a.m,6,NA,5.00 a.m
6 inches,6,NA,6 inches
7 o’clock,6,NA,7 o’clock
7.00 p.m,6,NA,7.00 p.m
8 10,6,NA,8 10
8 miles,6,NA,8 miles
80th parallel,6,NA,80th parallel
9.00 a.m,6,NA,9.00 a.m
arctic night,6,NA,arctic night
blue black,6,NA,blue black
boat trip,6,NA,boat trip
brightly coloured,6,NA,brightly coloured
budington’s boat,6,NA,budington’s boat
cape hatherton,6,placename,cape hatherton
captain allen,6,NA,captain allen
covered barely,6,NA,covered barely
crew’s quarters,6,NA,crew’s quarters
dark water,6,NA,dark water
deep sea,6,NA,deep sea
dense clouds,6,NA,dense clouds
discovered land,6,NA,discovered land
distant view,6,NA,distant view
dr hayes,6,NA,dr hayes
emergency hut,6,NA,emergency hut
favourable conditions,6,NA,favourable conditions
floe drifters,6,NA,floe drifters
frozen ground,6,NA,frozen ground
fury beach,6,NA,fury beach
gale force,6,NA,gale force
hanseatic father,6,NA,hanseatic father
heavy snowfall,6,NA,heavy snowfall
hooded seal,6,NA,hooded seal
ice master,6,NA,ice master
lady franklin,6,NA,lady franklin
leads appeared,6,NA,leads appeared
main mass,6,NA,main mass
north shore,6,NA,north shore
north south,6,NA,north south
northeast wind,6,NA,northeast wind
northwest passage,6,NA,northwest passage
opposite coast,6,NA,opposite coast
return trip,6,NA,return trip
rough ice,6,NA,rough ice
rubber sheet,6,NA,rubber sheet
scarcely expect,6,NA,scarcely expect
ship lay,6,NA,ship lay
shore ice,6,NA,shore ice
single person,6,NA,single person
skin boats,6,NA,skin boats
steep cliffs,6,NA,steep cliffs
strong wind,6,NA,strong wind
term day,6,NA,term day
thin ice,6,NA,thin ice
tolerably level,6,NA,tolerably level
violent blizzard,6,NA,violent blizzard
water extended,6,NA,water extended
1 mile,5,NA,1 mile
1 o’clock,5,NA,1 o’clock
10 paces,5,NA,10 paces
11.00 a.m,5,NA,11.00 a.m
14 days,5,NA,14 days
15 miles,5,NA,15 miles
3 hours,5,NA,3 hours
3 o’clock,5,NA,3 o’clock
30 miles,5,NA,30 miles
4 feet,5,NA,4 feet
50 paces,5,NA,50 paces
anchor chain,5,NA,anchor chain
artificial horizon,5,NA,artificial horizon
astronomical determination,5,NA,astronomical determination
atmospheric electricity,5,NA,atmospheric electricity
barely perceptible,5,NA,barely perceptible
board polaris,5,NA,board polaris
boat party,5,NA,boat party
brother john,5,NA,brother john
brownish black,5,NA,brownish black
burning thirst,5,NA,burning thirst
cable locker,5,NA,cable locker
cape garry,5,placename,cape garry
cape inglefield,5,placename,cape inglefield
captain adams,5,NA,captain adams
church service,5,NA,church service
closely packed,5,NA,closely packed
coarse grained,5,NA,coarse grained
concave mirror,5,NA,concave mirror
conical rock,5,NA,conical rock
drifting floe,5,NA,drifting floe
drifting floes,5,NA,drifting floes
east shore,5,NA,east shore
ellesmere land,5,placename,ellesmere land
empty handed,5,NA,empty handed
en route,5,NA,en route
entire crew,5,NA,entire crew
erratic boulders,5,NA,erratic boulders
etah inuk,5,NA,etah inuk
finally succeeded,5,NA,finally succeeded
flat calm,5,NA,flat calm
fog rolled,5,NA,fog rolled
franklin bay,5,NA,franklin bay
frost flowers,5,NA,frost flowers
gentle breeze,5,NA,gentle breeze
george nares,5,NA,george nares
glaucous gulls,5,NA,glaucous gulls
god harbor,5,NA,god harbor
grinnell expedition,5,NA,grinnell expedition
heavily laden,5,NA,heavily laden
heavy swell,5,NA,heavy swell
heinrich hobby,5,NA,heinrich hobby
hermann siemens,5,NA,hermann siemens
hudson bay,5,placename,hudson bay
ice blink,5,NA,ice blink
ice cap,5,NA,ice cap
ice crust,5,NA,ice crust
ice drifters,5,NA,ice drifters
ice hummocks,5,NA,ice hummocks
ice situation,5,NA,ice situation
ice slackened,5,NA,ice slackened
immediately set,5,NA,immediately set
ivory gull,5,wildlife,ivory gull
john glacier,5,NA,john glacier
joseph killed,5,NA,joseph killed
knife edges,5,NA,knife edges
larger floe,5,NA,larger floe
leather thongs,5,NA,leather thongs
lower cable,5,NA,lower cable
magnifying glass,5,NA,magnifying glass
maximum width,5,NA,maximum width
meteoric iron,5,NA,meteoric iron
mountain ranges,5,NA,mountain ranges
narrow channel,5,NA,narrow channel
natural history,5,NA,natural history
noon altitude,5,NA,noon altitude
normal circumstances,5,NA,normal circumstances
north america,5,NA,north america
north coast,5,NA,north coast
one’s eye,5,NA,one’s eye
passed cape,5,NA,passed cape
pendulum apparatus,5,NA,pendulum apparatus
pendulum experiments,5,NA,pendulum experiments
polar expedition,5,NA,polar expedition
pole expedition,5,NA,pole expedition
pressure ridges,5,NA,pressure ridges
prevailing conditions,5,NA,prevailing conditions
prince regent,5,NA,prince regent
rapid progress,5,NA,rapid progress
regent inlet,5,placename,regent inlet
return home,5,NA,return home
sea bed,5,NA,sea bed
shattered ice,5,NA,shattered ice
ship’s biscuits,5,NA,ship’s biscuits
short period,5,NA,short period
sir george,5,NA,sir george
sledge party,5,NA,sledge party
sleeping bags,5,NA,sleeping bags
snow buntings,5,wildlife,snow buntings
south shore,5,NA,south shore
southerly current,5,NA,southerly current
spring tides,5,NA,spring tides
steep angle,5,NA,steep angle
storm slackened,5,NA,storm slackened
stormy weather,5,NA,stormy weather
suddenly appeared,5,NA,suddenly appeared
sun’s rays,5,NA,sun’s rays
sunny day,5,NA,sunny day
temperature conditions,5,NA,temperature conditions
temperature dropped,5,NA,temperature dropped
ten days,5,NA,ten days
thrown overboard,5,NA,thrown overboard
tobacco smoke,5,NA,tobacco smoke
tom cat,5,NA,tom cat
transport ship,5,NA,transport ship
upper edge,5,NA,upper edge
van rensselaer,5,NA,van rensselaer
violent storm,5,NA,violent storm
walrus hide,5,NA,walrus hide
water surface,5,NA,water surface
west shore,5,NA,west shore
wide crack,5,NA,wide crack
"1,500 feet",4,NA,"1,500 feet"
11 feet,4,NA,11 feet
1200 feet,4,NA,1200 feet
14 july,4,NA,14 july
19 people,4,NA,19 people
2 3,4,NA,2 3
2 inches,4,NA,2 inches
2.30 p.m,4,NA,2.30 p.m
20 august,4,NA,20 august
200 feet,4,NA,200 feet
3 inches,4,NA,3 inches
300 feet,4,NA,300 feet
3000 feet,4,NA,3000 feet
4 july,4,NA,4 july
4 miles,4,NA,4 miles
48 hours,4,NA,48 hours
5 o’clock,4,NA,5 o’clock
500 feet,4,NA,500 feet
700 feet,4,NA,700 feet
78th parallel,4,NA,78th parallel
79th parallel,4,NA,79th parallel
8 hours,4,NA,8 hours
800 feet,4,NA,800 feet
81st parallel,4,NA,81st parallel
advanced season,4,NA,advanced season
american continent,4,NA,american continent
arctic fox,4,wildlife,arctic fox
arctic ocean,4,NA,arctic ocean
arctic poppies,4,flora,arctic poppies
arctic poppy,4,flora,arctic poppy
ash grey,4,NA,ash grey
aurora borealis,4,NA,aurora borealis
baffin island,4,placename,baffin island
barely escaped,4,NA,barely escaped
barely reached,4,NA,barely reached
bear track,4,NA,bear track
bering strait,4,placename,bering strait
boat division,4,NA,boat division
breeze arose,4,NA,breeze arose
brent geese,4,wildlife,brent geese
brought aboard,4,NA,brought aboard
calcareous mud,4,NA,calcareous mud
calm prevailed,4,NA,calm prevailed
canvas boat,4,NA,canvas boat
cape farewell,4,placename,cape farewell
cape lieber,4,placename,cape lieber
cape parry,4,placename,cape parry
captain markham,4,NA,captain markham
cat tom,4,NA,cat tom
close ice,4,NA,close ice
commander greer,4,NA,commander greer
completely soaked,4,NA,completely soaked
cul de,4,NA,cul de
cumberland sound,4,placename,cumberland sound
dark brown,4,NA,dark brown
dark cloud,4,NA,dark cloud
dark colour,4,NA,dark colour
deck house,4,NA,deck house
deck pumps,4,NA,deck pumps
desolate coast,4,NA,desolate coast
dog skins,4,NA,dog skins
dog sledges,4,NA,dog sledges
drizzling rain,4,NA,drizzling rain
east greenland,4,NA,east greenland
east west,4,NA,east west
erratic blocks,4,NA,erratic blocks
eskimo women,4,NA,eskimo women
extremely dubious,4,NA,extremely dubious
fairly level,4,NA,fairly level
finally reached,4,NA,finally reached
green colour,4,NA,green colour
grey clouds,4,NA,grey clouds
ha ha,4,NA,ha ha
half grown,4,NA,half grown
hanseatic mother,4,NA,hanseatic mother
hayes found,4,NA,hayes found
hayes sound,4,placename,hayes sound
height index,4,NA,height index
held fast,4,NA,held fast
henry grinnell,4,NA,henry grinnell
hind legs,4,NA,hind legs
hooded seals,4,NA,hooded seals
hudson strait,4,placename,hudson strait
ice age,4,NA,ice age
ice anchors,4,NA,ice anchors
ice appeared,4,NA,ice appeared
ice bridge,4,NA,ice bridge
ice mass,4,NA,ice mass
ice ridge,4,NA,ice ridge
inches wide,4,NA,inches wide
jan mayen,4,NA,jan mayen
johanna island,4,placename,johanna island
john ross,4,NA,john ross
jolly boat,4,NA,jolly boat
joseph shot,4,NA,joseph shot
joseph’s rifle,4,NA,joseph’s rifle
land appeared,4,NA,land appeared
land mass,4,NA,land mass
latitude 81,4,NA,latitude 81
left port,4,NA,left port
light breeze,4,NA,light breeze
main hatch,4,NA,main hatch
medium sized,4,NA,medium sized
men’s quarters,4,NA,men’s quarters
mentioned earlier,4,NA,mentioned earlier
meteorological journal,4,NA,meteorological journal
meyer measured,4,NA,meyer measured
miles east,4,NA,miles east
miles wide,4,NA,miles wide
minimum thermometers,4,NA,minimum thermometers
minor items,4,NA,minor items
moss cushions,4,NA,moss cushions
moving pack,4,NA,moving pack
moving south,4,NA,moving south
narrow belt,4,NA,narrow belt
narrow strait,4,NA,narrow strait
narrow strip,4,NA,narrow strip
newly formed,4,NA,newly formed
noah hayes,4,NA,noah hayes
north greenland,4,NA,north greenland
north polar,4,NA,north polar
north star,4,NA,north star
northeasterly direction,4,NA,northeasterly direction
northerly wind,4,NA,northerly wind
northerly winds,4,NA,northerly winds
northern continuation,4,NA,northern continuation
one’s foot,4,NA,one’s foot
opposite direction,4,NA,opposite direction
pendulum box,4,NA,pendulum box
penetrate farther,4,NA,penetrate farther
polar travellers,4,NA,polar travellers
polaris promontory,4,NA,polaris promontory
poor condition,4,NA,poor condition
previous fall,4,NA,previous fall
projecting cape,4,NA,projecting cape
push north,4,NA,push north
raised steam,4,NA,raised steam
red wine,4,NA,red wine
rock masses,4,NA,rock masses
rocky ground,4,NA,rocky ground
rounding cape,4,NA,rounding cape
rubber sheets,4,NA,rubber sheets
sailing master,4,NA,sailing master
sharp contrast,4,NA,sharp contrast
ship appeared,4,NA,ship appeared
ship approached,4,NA,ship approached
ship’s bell,4,NA,ship’s bell
ship’s doctor,4,NA,ship’s doctor
ship’s hull,4,NA,ship’s hull
ship’s length,4,NA,ship’s length
ship’s stern,4,NA,ship’s stern
shore polynya,4,NA,shore polynya
short duration,4,NA,short duration
silver concave,4,NA,silver concave
sleeping bag,4,NA,sleeping bag
sleeping platform,4,NA,sleeping platform
snow knife,4,NA,snow knife
solid mass,4,NA,solid mass
southwest wind,4,NA,southwest wind
specific gravity,4,NA,specific gravity
square feet,4,NA,square feet
stark naked,4,NA,stark naked
steam engine,4,NA,steam engine
steamer polaris,4,NA,steamer polaris
steep coast,4,NA,steep coast
steep slope,4,NA,steep slope
stiff breeze,4,NA,stiff breeze
strenuous hike,4,NA,strenuous hike
sun altitude,4,NA,sun altitude
swedish expedition,4,NA,swedish expedition
swinging knife,4,NA,swinging knife
tide rose,4,NA,tide rose
trawl net,4,NA,trawl net
twilight arch,4,NA,twilight arch
unfavourable conditions,4,NA,unfavourable conditions
upper body,4,NA,upper body
urgent necessity,4,NA,urgent necessity
vertical cliffs,4,NA,vertical cliffs
waves broke,4,NA,waves broke
wide arc,4,NA,wide arc
wide cracks,4,NA,wide cracks
wide lead,4,NA,wide lead
wide leads,4,NA,wide leads
width index,4,NA,width index
wind freshened,4,NA,wind freshened
winter harbour,4,NA,winter harbour
winter night,4,NA,winter night
1 foot,3,NA,1 foot
1 july,3,NA,1 july
1 june,3,NA,1 june
1 september,3,NA,1 september
10 minutes,3,NA,10 minutes
11 miles,3,NA,11 miles
11.00 p.m,3,NA,11.00 p.m
12 inches,3,NA,12 inches
12.30 a.m,3,NA,12.30 a.m
13 hours,3,NA,13 hours
14 inches,3,NA,14 inches
16 october,3,NA,16 october
18 hours,3,NA,18 hours
19 companions,3,NA,19 companions
2 march,3,NA,2 march
20 lbs,3,NA,20 lbs
200 paces,3,NA,200 paces
27 january,3,NA,27 january
29 august,3,NA,29 august
3 4,3,NA,3 4
3 april,3,NA,3 april
3 june,3,NA,3 june
3.30 p.m,3,NA,3.30 p.m
30 lb,3,NA,30 lb
31 august,3,NA,31 august
32 lb,3,NA,32 lb
4 inches,3,NA,4 inches
4 october,3,NA,4 october
4 september,3,NA,4 september
45 minutes,3,NA,45 minutes
5 days,3,NA,5 days
5 minutes,3,NA,5 minutes
50 feet,3,NA,50 feet
6 foot,3,NA,6 foot
60 miles,3,NA,60 miles
61 44,3,NA,61 44
70 miles,3,NA,70 miles
70th parallel,3,NA,70th parallel
8.5 miles,3,NA,8.5 miles
800 lbs,3,NA,800 lbs
81 35,3,NA,81 35
81 38,3,NA,81 38
9 miles,3,NA,9 miles
9h p.m,3,NA,9h p.m
aboard ship,3,NA,aboard ship
abundantly represented,3,NA,abundantly represented
american flag,3,NA,american flag
american government,3,NA,american government
annual rings,3,NA,annual rings
apparently solid,3,NA,apparently solid
appeared vaguely,3,NA,appeared vaguely
approaching completion,3,NA,approaching completion
arc split,3,NA,arc split
arctic seas,3,NA,arctic seas
arctic’s captain,3,NA,arctic’s captain
astronomical observation,3,NA,astronomical observation
astronomical observations,3,NA,astronomical observations
atlantic ocean,3,NA,atlantic ocean
average height,3,NA,average height
average speed,3,NA,average speed
barely 2,3,NA,barely 2
barely 5,3,NA,barely 5
barely 50,3,NA,barely 50
barely visible,3,NA,barely visible
bay roberts,3,placename,bay roberts
beach formation,3,NA,beach formation
bear skin,3,NA,bear skin
bear tracks,3,NA,bear tracks
bitter disappointments,3,NA,bitter disappointments
blackened thermometers,3,NA,blackened thermometers
blubber lamp,3,NA,blubber lamp
board arctic,3,NA,board arctic
boat left,3,NA,boat left
boat voyage,3,NA,boat voyage
boiling water,3,NA,boiling water
bone remains,3,NA,bone remains
box chronometer,3,NA,box chronometer
box chronometers,3,NA,box chronometers
british whalers,3,NA,british whalers
budington morton,3,NA,budington morton
buried beneath,3,NA,buried beneath
c.f hall,3,NA,c.f hall
camp joseph,3,NA,camp joseph
cannon shot,3,NA,cannon shot
canvas roof,3,NA,canvas roof
cape atholl,3,placename,cape atholl
cape hay,3,placename,cape hay
cape joseph,3,placename,cape joseph
cape morton,3,placename,cape morton
cape tyson,3,placename,cape tyson
cape union,3,placename,cape union
carey islands,3,placename,carey islands
cat thomas,3,NA,cat thomas
charles polaris,3,NA,charles polaris
chattering teeth,3,NA,chattering teeth
chester climbed,3,NA,chester climbed
christmas tree,3,NA,christmas tree
close alongside,3,NA,close alongside
close inshore,3,NA,close inshore
cloud cover,3,NA,cloud cover
clouds rose,3,NA,clouds rose
coal bunkers,3,NA,coal bunkers
coming spring,3,NA,coming spring
completely lost,3,NA,completely lost
considerable distance,3,NA,considerable distance
contained numerous,3,NA,contained numerous
cooking pot,3,NA,cooking pot
cross smith,3,NA,cross smith
current coming,3,NA,current coming
daily rate,3,NA,daily rate
dangerous situation,3,NA,dangerous situation
danish colony,3,NA,danish colony
dark bank,3,NA,dark bank
dark banks,3,NA,dark banks
dark clouds,3,NA,dark clouds
dark period,3,NA,dark period
dark waves,3,NA,dark waves
day 1,3,NA,day 1
day passed,3,NA,day passed
days passed,3,NA,days passed
de la,3,NA,de la
de sacs,3,NA,de sacs
dead man’s,3,NA,dead man’s
deep dark,3,NA,deep dark
deep sleep,3,NA,deep sleep
deep snowdrifts,3,NA,deep snowdrifts
desolate beach,3,NA,desolate beach
died shortly,3,NA,died shortly
dim twilight,3,NA,dim twilight
distance involved,3,NA,distance involved
distant horizon,3,NA,distant horizon
distant land,3,NA,distant land
dog driver,3,NA,dog driver
dog driving,3,NA,dog driving
dorsal fin,3,NA,dorsal fin
dr rudolph,3,NA,dr rudolph
drifted snow,3,NA,drifted snow
drop vertically,3,NA,drop vertically
dudley digges,3,NA,dudley digges
east wall,3,NA,east wall
ebb current,3,NA,ebb current
eider duck,3,NA,eider duck
elwin inlet,3,placename,elwin inlet
english language,3,NA,english language
entire contents,3,NA,entire contents
erratic material,3,NA,erratic material
eskimo huts,3,NA,eskimo huts
eskimo joseph,3,NA,eskimo joseph
eskimo settlement,3,NA,eskimo settlement
extensive ice,3,NA,extensive ice
extensive polynyas,3,NA,extensive polynyas
extremely bad,3,NA,extremely bad
extremely variable,3,NA,extremely variable
feet deep,3,NA,feet deep
fell ill,3,NA,fell ill
figures appeared,3,NA,figures appeared
fine animal,3,NA,fine animal
fog forced,3,NA,fog forced
fog hung,3,NA,fog hung
fog lifted,3,NA,fog lifted
fog rose,3,NA,fog rose
forced march,3,NA,forced march
formed ice,3,NA,formed ice
fresh bear,3,NA,fresh bear
fresh water,3,NA,fresh water
friend avatok,3,NA,friend avatok
friendly fate,3,NA,friendly fate
frying pan,3,NA,frying pan
fur stockings,3,NA,fur stockings
gale continued,3,NA,gale continued
gentle pressure,3,NA,gentle pressure
gentle wind,3,NA,gentle wind
geographical results,3,NA,geographical results
geographical society,3,NA,geographical society
george robeson,3,NA,george robeson
glacier system,3,NA,glacier system
glowing aurora,3,NA,glowing aurora
gnawing hunger,3,NA,gnawing hunger
gneiss rocks,3,NA,gneiss rocks
god harbour,3,NA,god harbour
greenland massif,3,NA,greenland massif
greenlander hans,3,NA,greenlander hans
grounded icebergs,3,NA,grounded icebergs
grow dark,3,NA,grow dark
hair covered,3,NA,hair covered
half exhausted,3,NA,half exhausted
half mile,3,NA,half mile
half starved,3,NA,half starved
hall returned,3,NA,hall returned
hall’s death,3,NA,hall’s death
hauled tight,3,NA,hauled tight
hayes expedition,3,NA,hayes expedition
hayes’s map,3,NA,hayes’s map
headed north,3,NA,headed north
headed south,3,NA,headed south
headed west,3,NA,headed west
headland cape,3,NA,headland cape
heaving brash,3,NA,heaving brash
heavy ice,3,NA,heavy ice
heavy masses,3,NA,heavy masses
hourly observations,3,NA,hourly observations
hunting dog,3,NA,hunting dog
hunting people,3,NA,hunting people
hunting trips,3,NA,hunting trips
hurricane force,3,NA,hurricane force
ice anchor,3,NA,ice anchor
ice broke,3,NA,ice broke
ice extended,3,NA,ice extended
ice field,3,NA,ice field
ice formations,3,NA,ice formations
ice fragments,3,NA,ice fragments
ice needles,3,NA,ice needles
ice plateau,3,NA,ice plateau
ice pressure,3,NA,ice pressure
icy fetters,3,NA,icy fetters
immediately started,3,NA,immediately started
inadequate snow,3,NA,inadequate snow
inches thick,3,NA,inches thick
iron lifeboat,3,NA,iron lifeboat
ivory gulls,3,wildlife,ivory gulls
john’s harbour,3,NA,john’s harbour
joseph henry,3,NA,joseph henry
joseph told,3,NA,joseph told
jumped overboard,3,NA,jumped overboard
juniata tigress,3,NA,juniata tigress
kane set,3,NA,kane set
knee deep,3,NA,knee deep
land birds,3,NA,land birds
land coast,3,NA,land coast
land masses,3,NA,land masses
lay buried,3,NA,lay buried
lay hidden,3,NA,lay hidden
lead appeared,3,NA,lead appeared
lead dogs,3,NA,lead dogs
leather thong,3,NA,leather thong
left hand,3,NA,left hand
left shore,3,NA,left shore
level floe,3,NA,level floe
level surface,3,NA,level surface
level surfaces,3,NA,level surfaces
lie scattered,3,NA,lie scattered
life size,3,NA,life size
light northerly,3,NA,light northerly
limited extent,3,NA,limited extent
loud crack,3,NA,loud crack
loud crash,3,NA,loud crash
low temperature,3,NA,low temperature
lower cabin,3,NA,lower cabin
lower hold,3,NA,lower hold
lower jaw,3,NA,lower jaw
lower saloon,3,NA,lower saloon
loyal jimmy,3,NA,loyal jimmy
magnetic pole,3,NA,magnetic pole
magnetic term,3,NA,magnetic term
main task,3,NA,main task
massive floes,3,NA,massive floes
merchants ferrymen,3,NA,merchants ferrymen
metamorphic rocks,3,NA,metamorphic rocks
mile south,3,NA,mile south
mile wide,3,NA,mile wide
miles offshore,3,NA,miles offshore
mirror smooth,3,NA,mirror smooth
morning hours,3,NA,morning hours
mountain peaks,3,NA,mountain peaks
mountain range,3,NA,mountain range
mountain ridges,3,NA,mountain ridges
moved farther,3,NA,moved farther
moved south,3,NA,moved south
muskox hunt,3,NA,muskox hunt
mya truncata,3,wildlife,mya truncata
narrow belts,3,NA,narrow belts
narrow fiord,3,NA,narrow fiord
narrow lead,3,NA,narrow lead
narrow leads,3,NA,narrow leads
national museum,3,NA,national museum
nearby cliffs,3,NA,nearby cliffs
nearby icebergs,3,NA,nearby icebergs
nearby shore,3,NA,nearby shore
north northeast,3,NA,north northeast
north water,3,NA,north water
northerly direction,3,NA,northerly direction
northerly inhabitants,3,NA,northerly inhabitants
northern horizon,3,NA,northern horizon
northwest coast,3,NA,northwest coast
official report,3,NA,official report
one’s feet,3,NA,one’s feet
opposite shore,3,NA,opposite shore
organic life,3,NA,organic life
outer edge,3,NA,outer edge
overcast sky,3,NA,overcast sky
ozone content,3,NA,ozone content
patent log,3,NA,patent log
personal equipment,3,NA,personal equipment
physical observations,3,NA,physical observations
